Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,01-01,446.006250,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
1,01-02,446.006250,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
2,01-03,446.006250,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
3,01-04,446.006250,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
4,01-05,446.006250,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
5,02-01,446.01875,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
6,02-02,446.01875,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
7,02-03,446.01875,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
8,02-04,446.01875,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
9,02-05,446.01875,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
10,03-01,446.03125,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
11,03-02,446.03125,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
12,03-03,446.03125,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
13,03-04,446.03125,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
14,03-05,446.03125,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
15,04-01,446.04375,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
16,04-02,446.04375,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
17,04-03,446.04375,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
18,04-04,446.04375,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
19,04-05,446.04375,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
20,05-01,446.05625,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
21,05-02,446.05625,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
22,05-03,446.05625,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
23,05-04,446.05625,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
24,05-05,446.05625,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
25,06-01,446.06875,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
26,06-02,446.06875,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
27,06-03,446.06875,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
28,06-04,446.06875,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
29,06-05,446.06875,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
30,07-01,446.08125,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
31,07-02,446.08125,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
32,07-03,446.08125,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
33,07-04,446.08125,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
34,07-05,446.08125,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
35,08-01,446.09375,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
36,08-02,446.09375,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
37,08-03,446.09375,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
38,08-04,446.09375,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
39,08-05,446.09375,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
40,09-01,446.10625,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
41,09-02,446.10625,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
42,09-03,446.10625,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
43,09-04,446.10625,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
44,09-05,446.10625,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
45,10-01,446.11875,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
46,10-02,446.11875,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
47,10-03,446.11875,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
48,10-04,446.11875,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
49,10-05,446.11875,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
50,11-01,446.13125,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
51,11-02,446.13125,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
52,11-03,446.13125,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
53,11-04,446.13125,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
54,11-05,446.13125,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
55,12-01,446.14375,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
56,12-02,446.14375,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
57,12-03,446.14375,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
58,12-04,446.14375,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
59,12-05,446.14375,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
60,13-01,446.15625,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
61,13-02,446.15625,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
62,13-03,446.15625,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
63,13-04,446.15625,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
64,13-05,446.15625,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
65,14-01,446.16875,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
66,14-02,446.16875,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
67,14-03,446.16875,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
68,14-04,446.16875,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
69,14-05,446.16875,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
70,15-01,446.18125,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
71,15-02,446.18125,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
72,15-03,446.18125,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
73,15-04,446.18125,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
74,15-05,446.18125,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
75,16-01,446.19375,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
76,16-02,446.19375,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
77,16-03,446.19375,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
78,16-04,446.19375,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
79,16-05,446.19375,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
100,07-07,446.08125,,0.000000,TSQL,85.4,85.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
